type,name,output_column,source_file,column,row_condition
float64,Poor trend in test scores,p_coh,SEDA_geodist_pool_GCS_v30.csv,mn_coh_eb,subgroup == ecd
object,Identifier,id,SEDA_geodist_pool_GCS_v30.csv,leaidC,subgroup == nec
float64,Non-poor Sample Size,np_sz,SEDA_geodist_pool_GCS_v30.csv,mn_asmts,subgroup == nec
float64,Non-poor average test score,np_avg,SEDA_geodist_pool_GCS_v30.csv,mn_avg_eb,subgroup == nec
float64,Non-poor growth in grades,np_grd,SEDA_geodist_pool_GCS_v30.csv,mn_grd_eb,subgroup == nec
float64,Non-poor trend in test scores,np_coh,SEDA_geodist_pool_GCS_v30.csv,mn_coh_eb,subgroup == nec
object,Identifier,id,SEDA_geodist_pool_GCS_v30.csv,leaidC,subgroup == wag
float64,White / Asian Sample Size,wa_sz,SEDA_geodist_pool_GCS_v30.csv,mn_asmts,subgroup == nec
float64,White / Asian Gap average test score,wa_avg,SEDA_geodist_pool_GCS_v30.csv,mn_avg_eb,subgroup == wag
float64,White / Asian Gap growth in grades,wa_grd,SEDA_geodist_pool_GCS_v30.csv,mn_grd_eb,subgroup == wag
float64,White / Asian Gap trend in test scores,wa_coh,SEDA_geodist_pool_GCS_v30.csv,mn_coh_eb,subgroup == wag
object,Identifier,id,SEDA_geodist_pool_GCS_v30.csv,leaidC,subgroup == wbg
float64,White / Black Sample Size,wb_sz,SEDA_geodist_pool_GCS_v30.csv,mn_asmts,subgroup == wbg
float64,White / Black Gap average test score,wb_avg,SEDA_geodist_pool_GCS_v30.csv,mn_avg_eb,subgroup == wbg
float64,White / Black Gap growth in grades,wb_grd,SEDA_geodist_pool_GCS_v30.csv,mn_grd_eb,subgroup == wbg
float64,White / Black Gap trend in test scores,wb_coh,SEDA_geodist_pool_GCS_v30.csv,mn_coh_eb,subgroup == wbg
object,Identifier,id,SEDA_geodist_pool_GCS_v30.csv,leaidC,subgroup == whg
float64,White / Hispanic Sample Size,wh_sz,SEDA_geodist_pool_GCS_v30.csv,mn_asmts,subgroup == whg
float64,White / Hispanic Gap average test score,wh_avg,SEDA_geodist_pool_GCS_v30.csv,mn_avg_eb,subgroup == whg
float64,White / Hispanic Gap growth in grades,wh_grd,SEDA_geodist_pool_GCS_v30.csv,mn_grd_eb,subgroup == whg
float64,White / Hispanic Gap trend in test scores,wh_coh,SEDA_geodist_pool_GCS_v30.csv,mn_coh_eb,subgroup == whg
object,Identifier,id,SEDA_geodist_pool_GCS_v30.csv,leaidC,subgroup == mfg
float64,Male / Female Sample Size,mf_sz,SEDA_geodist_pool_GCS_v30.csv,mn_asmts,subgroup == mfg
float64,Male / Female Gap average test score,mf_avg,SEDA_geodist_pool_GCS_v30.csv,mn_avg_eb,subgroup == mfg
float64,Male / Female Gap growth in grades,mf_grd,SEDA_geodist_pool_GCS_v30.csv,mn_grd_eb,subgroup == mfg
float64,Male / Female Gap trend in test scores,mf_coh,SEDA_geodist_pool_GCS_v30.csv,mn_coh_eb,subgroup == mfg
object,Identifier,id,SEDA_geodist_pool_GCS_v30.csv,leaidC,subgroup == neg
float64,Poor / Nonpoor Sample Size,pn_sz,SEDA_geodist_pool_GCS_v30.csv,mn_asmts,subgroup == neg
float64,Poor / Nonpoor Gap,pn_avg,SEDA_geodist_pool_GCS_v30.csv,mn_avg_eb,subgroup == neg
float64,Poor / Nonpoor Gap,pn_grd,SEDA_geodist_pool_GCS_v30.csv,mn_grd_eb,subgroup == neg
float64,Poor / Nonpoor Gap,pn_coh,SEDA_geodist_pool_GCS_v30.csv,mn_coh_eb,subgroup == neg
